Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keteragan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter)
Tolala,Kolaka Utara,Nikel Tolala,299.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tolala,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 0,92% - 0,95%","PT Mulia Makmur Perkasa, 2010",1312,121.1,-2.91,IUP,"Desa Patikala, Tolala Kec Tolala",2450,"Juli 16, 2029","Juli 17, 2009",19243.900,239.695,48660.854
Kabaena Timur,Bombana,Nikel Tapuhaka,2.569.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapuhaka,Sulawesi Tenggara,Operasi Produksi,233556,349.866.888,"Kadar Ni 1,6% dan 2,11%","PT Narayana Lambale Selaras, Laporan RKAB Tahun 2020",1591,122.0255,-5.3198,IUP,"Kabupaten Bombana, Kecamatan Kabaena Timur",414,"Juni 22, 2033","Juni 22, 2023",2772.735,40.481,47285.203
Molawe,Konawe Utara,Nikel Boenaga 1,2.532.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Boenaga 1,Sulawesi Tenggara,Operasi Produksi,6058945,76.342.707,"4 blok, kadar Ni 1,4% s.d. 2%","PT Paramitha Persada Tama, Laporan RKAB Tahun 2020",1554,122.3798,-3.4394,IUP,Kec. Lasolo,175,"April 3, 2032","April 3, 2012",62861.294,23.323,44853.851
Tolala,Kolaka Utara,Nikel Patikala 4 Blok Utara,2.156.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Patikala 4 Blok Utara,Sulawesi Tenggara,Operasi Produksi,6129784,753.473.042,Ironcap-Limonit-Saprolit,"PT Patrindo Jaya Makmur, Laporan RKAB Tahun 2020",1505,120.99,-2.843,IUP,"Desa Patikala, Kecamatan Tolala",500,"Desember 5, 2027","Desember 5, 2012",12082.040,7800.388,52655.578
Tolala,Kolaka Utara,Nikel Patikala 4 Blok Selatan,2.533.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Patikala 4 Blok Selatan,Sulawesi Tenggara,Operasi Produksi,8192167,10.069.811.465,"Laterit dimulai dari ironcap sampai rocky sparolit dengan kadar Ni 0,6% s.d. 2,6%","PT Patrindo Jaya Makmur, Laporan RKAB Tahun 2020",1555,121.0002,-2.8586,IUP,"Desa Patikala, Kecamatan Tolala",500,"Desember 5, 2027","Desember 5, 2012",13208.129,6960.670,52753.795
Lasolo,Konawe Utara,Nikel Waturambaha 1,2.791.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Waturambaha 1,Sulawesi Tenggara,Operasi Produksi,1163407,154.733.131,"Kadar Ni 1,5% s.d. 2,1%","PT Pernick Sultra, Laporan RKAB Tahun 2020",1609,122.3032,-3.3628,IUP,Kecamatan Langgikima,539,"Agustus 23, 2031","Agustus 23, 2011",63282.844,112.148,34898.963
Tanggetada,Kolaka,Nikel Sopura 1,1.946.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Sopura 1,Sulawesi Tenggara,Operasi Produksi,89965,1.133.559,"Kadar Ni > 1,4% s.d. 2,1%","PT Pernick Sultra, Laporan RKAB Tahun 2020",1478,121.531,-4.297,IUP ,Tanggetada,108,"April 12, 2030","April 12, 2010",15465.641,613.790,4783.957
Lasolo,Konawe Utara,Nikel Tapu Boedingin,2.814.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapu Boedingin,Sulawesi Tenggara,Operasi Produksi,450,5.5125,"Blok A, kadar Ni 1,5% dan 1,75%","PT Primastian Metal Pratama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1632,122.37,-3.457,IUP,Kec. Lasolo,102,"Desember 23, 2031","Maret 2, 2018",61446.172,1334.369,46459.399
Lasusua,Kolaka Utara,Nikel Pitulua 1,2.548.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pitulua 1,Sulawesi Tenggara,Operasi Produksi,1512500,16.410.625,-,"PT Putra Dermawan Pratama, Laporan RKAB Tahun 2019",1570,120.954,-3.623,IUP,"Desa Sulaho, Kec. Lasusua, Kab. Kolaka Utara, Sulawesi Tenggara",100,"Juni 4, 2026","Juli 4, 2011",24282.603,129.615,45933.546
Lasolo,Konawe Utara,Nikel Tapunggaya 6,2.863.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 6,Sulawesi Tenggara,Operasi Produksi,1361028,16.547.020.840,"Kadar Ni 1,38 % - 1,73 %","PT Putra Intisultra Perkasa (70/DPMPTSP/II/2019), Persetujuan RKAB Tahun 2021",1660,122.37,-3.457,IUP,Kec. Lasolo,261,"Desember 23, 2031","Desember 23, 2011",61446.172,1334.369,46459.399
Lasolo,Konawe Utara,Nikel Tapunggaya 5,2.813.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 5,Sulawesi Tenggara,Operasi Produksi,25308023.3,318.881.093.580,"Kadar rata-rata Ni 1,85%","PT Putra Kendari Sejahtera, Laporan RKAB Tahun 2022",1631,122.363,-3.3867,IUP,Kec. Langgikima,218,"Juli 27, 2031","Juli 27, 2011",67712.589,2263.718,38739.235
Pomalaa,Kolaka,Nikel Pesouha,2.163.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pesouha,Sulawesi Tenggara,Operasi Produksi,2453560,24.044.888,"Blok Utara dan Blok Selatan dengan kadar Ni 1,3% dan 1,4%Kadar","PT Putra Mekongga Sejahtera, Laporan RKAB Tahun 2022",1512,121.6348,-4.218,IUP,Kecamatan Pomalaa,388,"Mei 21, 2027","Mei 22, 2017",6274.055,317.527,4980.748
Porehu,Kolaka Utara,Nikel Larui,1.387.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Larui,Sulawesi Tenggara,Eksplorasi,0,0,-,"PT Ranaspri Ayanori, 2013",1406,121.153,-2.902,IUP,"Desa Lawaki Jaya, Kecamatan Tolala",1050,"Desember 5, 2027","Desember 5, 2012",,,
Molawe,Konawe Utara,Nikel Boenaga,1.942.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Boenaga,Sulawesi Tenggara,Operasi Produksi,651799,82.126.674,-,"PT Rizki Sinar Biokas, Laporan RKAB Tahun 2020",1474,122.368,-3.418,IUP,Molawe,220,"Februari 14, 2032","Januari 5, 2017",65538.863,1914.992,42225.501
Molawe,Konawe Utara,Nikel Blok I dan Blok II Tapunggaya,2.561.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wawalalindu,Sulawesi Tenggara,Operasi Produksi,0,0,"3 blok, kadar Ni 1,5% s.d. 1,6%","PT Rizqi Biokas Pratama, Laporan RKAB Tahun 2020",1583,122.1918,-3.5948,IUP,Molawe,251,"Februari 28, 2032","Januari 29, 2019",59868.969,15.574,42463.572
Kabaena Tengah,Bombana,Nikel Lengora 1 (Blok A 11),2.166.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lengora 1 (Blok A 11),Sulawesi Tenggara,Operasi Produksi,686715.1,8.467.558.235,Limonit-Saprolit,"PT Rohul Energi Indonesia, Laporan RKAB Tahun 2020",1516,121.9669,-5.1454,IUP,"Kec. Kabaena tengah, Kab. Bombana",3450,"Januari 30, 2032","Agustus 28, 2019",10716.825,1735.667,27899.134
Kabaena Tengah,Bombana,Nikel Lengora 1 (Blok A 2),2.846.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lengora 1 (Blok A 2),Sulawesi Tenggara,Operasi Produksi,1086253.15,14.325.706.112,"Limonit, Saprolit","PT Rohul Energi Indonesia, Laporan RKAB Tahun 2021 (SDC September 2020)",1643,121.967,-5.1453,IUP,"Kec. Kabaena tengah, Kab. Bombana",3450,"Januari 30, 2032","Agustus 28, 2019",10716.711,1720.174,27887.219
Kabaena Tengah,Bombana,Nikel Lengora 1 (Blok A 7),2.847.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lengora 1 (Blok A 7),Sulawesi Tenggara,Operasi Produksi,1173847,13.094.960.042,"Limonit, Saprolit","PT Rohul Energi Indonesia, Laporan RKAB Tahun 2021 (SDC September 2020)",1644,121.967,-5.1453,IUP,"Kec. Kabaena tengah, Kab. Bombana",3450,"Januari 30, 2032","Agustus 28, 2019",10716.711,1720.174,27887.219
Kabaena Tengah,Bombana,Nikel Lengora 1 (Blok AB),2.848.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lengora 1 (Blok AB),Sulawesi Tenggara,Operasi Produksi,34500.2,0,"Limonit, Saprolit","PT Rohul Energi Indonesia, Laporan RKAB Tahun 2021 (SDC September 2020)",1645,121.967,-5.1453,IUP,"Kec. Kabaena tengah, Kab. Bombana",3450,"Januari 30, 2032","Agustus 28, 2019",10716.711,1720.174,27887.219
Kabaena Tengah,Bombana,Nikel Lengora 1 (Blok A 12),2.849.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lengora 1 (Blok A 12),Sulawesi Tenggara,Operasi Produksi,0,0,"Limonit, Saprolit","PT Rohul Energi Indonesia, Laporan RKAB Tahun 2021 (SDC September 2020)",1646,121.967,-5.1453,IUP,"Kec. Kabaena tengah, Kab. Bombana",3450,"Januari 30, 2032","Agustus 28, 2019",10716.711,1720.174,27887.219
Kabaena Tengah,Bombana,Nikel Lengora 1 (Blok A 15),2.850.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lengora 1 (Blok A 15),Sulawesi Tenggara,Operasi Produksi,0,0,"Limonit, Saprolit","PT Rohul Energi Indonesia, Laporan RKAB Tahun 2021 (SDC September 2020)",1647,121.967,-5.1453,IUP,"Kec. Kabaena tengah, Kab. Bombana",3450,"Januari 30, 2032","Agustus 28, 2019",10716.711,1720.174,27887.219
Kabaena Tengah,Bombana,Nikel Lengora 1 (Blok B1),2.851.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lengora 1 (Blok B1),Sulawesi Tenggara,Operasi Produksi,0,0,"Limonit, Saprolit","PT Rohul Energi Indonesia, Laporan RKAB Tahun 2021 (SDC September 2020)",1648,121.967,-5.1453,IUP,"Kec. Kabaena tengah, Kab. Bombana",3450,"Januari 30, 2032","Agustus 28, 2019",10716.711,1720.174,27887.219
Molawe,Konawe Utara,Nikel Waturambaha,2.168.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Waturambaha,Sulawesi Tenggara,Operasi Produksi,5060175,6.198.714.375,Blok 1-7,"PT Roshini Indonesia, Laporan RKAB Tahun 2018",1518,122.35,-3.387,IUP,"Kec. Lasolo, Konawe Utara",109,"Juli 17, 2029","Juli 18, 2019",67287.641,2711.409,38413.773
Palangga,Konawe Selatan,Nikel Ululakara,1.416.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Ululakara,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1%, dan 1,5% s.d. 1,7%","PT Sambas Minerals Mining, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1425,122.338,-4.399,IUP,"Desa Watudempa, Kec. Palngga Selatan, Kab. Konawe Selatan",1008,"Februari 15, 2030","Februari 15, 2020",14210.354,468.021,6601.051
Palangga Selatan,Konawe Selatan,Nikel Parasi,2.563.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Parasi,Sulawesi Tenggara,Operasi Produksi,22090000,262871,"Blok A, B dan C dengan kadar Ni 1,32% - 1,7%","PT Sentratama Karya Cemerlang (SK Bupati Konawe Selatan Nomor 540/1172 Tahun 2014), Laporan RKAB Tahun 2021",1585,122.404,-4.371,IUP,"Desa Wawowonua dan sekitarnya, Kec. Palangga Selatan, Kab. Konawe Selatan",1226,"Juli 28, 2028","Juli 28, 2018",10233.690,271.343,10742.617
Palangga,Konawe Selatan,Nikel Kiaea,2.815.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Kiaea,Sulawesi Tenggara,Operasi Produksi,1000000,12600,"Blok A, B dan C dengan kadar Ni 1,32% s.d. 1,7%","PT Sentratama Karya Cemerlang, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1633,122.404,-4.3708,IUP,"Desa Wawowonua dan sekitarnya, Kec. Palangga Selatan, Kab. Konawe Selatan",1226,"Juli 28, 2028","Juli 28, 2018",10251.824,291.679,10761.905
Molawe,Konawe Utara,Nikel Blok Helipad Waturambaha (B30),2.169.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Helipad Waturambaha (B30),Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1,53%, 1,7%, 1,75% dan 1,71%","PT Sinar Jaya Sultra Utama, Laporan RKAB Tahun 2020",1519,122.3366,-3.3682,IUP,Kec. Lasolo,301,"Maret 30, 2032","Maret 30, 2012",64857.378,186.123,36061.470
Molawe,Konawe Utara,Nikel Blok A Waturambaha,2.170.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok A Waturambaha,Sulawesi Tenggara,Operasi Produksi,0,0,Data SDC digabungkan di Blok Helipad Waturambaha,"PT Sinar Jaya Sultra Utama, Laporan RKAB Tahun 2020",1520,122.337,-3.3723,IUP,Kec. Lasolo,301,"Maret 30, 2032","Maret 30, 2012",65303.778,616.925,36514.434
Molawe,Konawe Utara,Nikel Blok B Waturambaha,2.171.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok B Waturambaha,Sulawesi Tenggara,Operasi Produksi,0,0,Data SDC digabungkan di Blok Helipad Waturambaha,"PT Sinar Jaya Sultra Utama, Laporan RKAB Tahun 2020",1521,122.3371,-3.3752,IUP,Kec. Lasolo,301,"Maret 30, 2032","Maret 30, 2012",65613.658,922.246,36830.776
Molawe,Konawe Utara,Nikel Blok C Waturambaha,2.172.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok C Waturambaha,Sulawesi Tenggara,Operasi Produksi,0,0,Data SDC digabungkan di Blok Helipad Waturambaha,"PT Sinar Jaya Sultra Utama, Laporan RKAB Tahun 2020",1522,122.3297,-3.372,IUP,Kec. Lasolo,301,"Maret 30, 2032","Maret 30, 2012",65038.588,640.342,36326.503
Molawe,Konawe Utara,Nikel Blok D Waturambaha,2.173.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok D Waturambaha,Sulawesi Tenggara,Operasi Produksi,0,0,Data SDC digabungkan di Blok Helipad Waturambaha,"PT Sinar Jaya Sultra Utama, Laporan RKAB Tahun 2020",1523,122.3301,-3.3754,IUP,Kec. Lasolo,301,"Maret 30, 2032","Maret 30, 2012",65411.856,1003.527,36704.316
Molawe,Konawe Utara,Nikel Blok E Waturambaha,2.174.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok E Waturambaha,Sulawesi Tenggara,Operasi Produksi,0,0,Data SDC digabungkan di Blok Helipad Waturambaha,"PT Sinar Jaya Sultra Utama, Laporan RKAB Tahun 2020",1524,122.3375,-3.3796,IUP,Kec. Lasolo,301,"Maret 30, 2032","Maret 30, 2012",66092.037,1404.605,37316.379
Molawe,Konawe Utara,Nikel Blok F Waturambaha,2.175.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok F Waturambaha,Sulawesi Tenggara,Operasi Produksi,0,0,Data SDC digabungkan di Blok Helipad Waturambaha,"PT Sinar Jaya Sultra Utama, Laporan RKAB Tahun 2020",1525,122.3378,-3.3821,IUP,Kec. Lasolo,301,"Maret 30, 2032","Maret 30, 2012",66366.252,1681.892,37593.930
Molawe,Konawe Utara,Nikel Blok G Waturambaha,2.176.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok G Waturambaha,Sulawesi Tenggara,Operasi Produksi,0,0,Data SDC digabungkan di Blok Helipad Waturambaha,"PT Sinar Jaya Sultra Utama, Laporan RKAB Tahun 2020",1526,122.3379,-3.3845,IUP,Kec. Lasolo,301,"Maret 30, 2032","Maret 30, 2012",66623.491,1944.377,37856.257
Molawe,Konawe Utara,Nikel Blok H Waturambaha,2.177.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok H Waturambaha,Sulawesi Tenggara,Operasi Produksi,0,0,Data SDC digabungkan di Blok Helipad Waturambaha,"PT Sinar Jaya Sultra Utama, Laporan RKAB Tahun 2020",1527,122.3378,-3.3867,IUP,Kec. Lasolo,301,"Maret 30, 2032","Maret 30, 2012",66853.215,2182.311,38092.580
Pondidaha,Konawe,Nikel Amonggedo,1.940.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Amonggedo,Sulawesi Tenggara,Operasi Produksi,7413124,77.837.802,"Data Blok Amogedo dan Blok Ponodaha disatukan, CoG Ni >1,4% Fe <18%","PT ST. Nickel Resources, Laporan RKAB Tahun 2020",1472,122.268,-3.919,IUP,"Kec. Besulutu, Amongggedo",1818,"Oktober 27, 2029","Juli 16, 2014",35013.716,759.447,16844.427
Pondidaha,Konawe,Nikel Ponidaha,1.941.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Ponidaha,Sulawesi Tenggara,Operasi Produksi,7883486,82.776.603,"Data Blok Amogedo dan Blok Ponodaha disatukan, CoG Ni >1,4% Fe <18%","PT ST. Nickel Resources, Laporan RKAB Tahun 2020",1473,122.272,-3.916,IUP,"Kec. Besulutu, Amongggedo",1818,"Oktober 27, 2029","Juli 16, 2014",34633.048,1229.589,16371.623
Langgikima,Konawe Utara,Nikel Lamonae 5,1.412.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lamonae 5,Sulawesi Tenggara,Operasi Produksi,7581000,89683.23,-,"PT Stargate Pasific Resources, 2015",1422,122.27,-3.341,IUP,Langgikima,1213.2,"Desember 21, 2029","Agustus 3, 2017",60121.423,188.032,32299.823
Langgikima,Konawe Utara,Nikel Blok Lameluru-Molore-Tobimeta,2.556.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Lameluru-Molore-Tobimeta,Sulawesi Tenggara,Operasi Produksi,0,294351.6,"3 blok, kadar Ni 1,52% s.d. 1,71%","PT Stargate Pasific Resources, Laporan RKAB Tahun 2022",1578,122.2706,-3.3404,IUP,"Kec. Langgikima, Konawe Utara",461.1,"Februari 1, 2031","Februari 1, 2011",60069.383,231.420,32233.407
Molawe,Konawe Utara,Nikel Boedingin,2.178.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Boedingin,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Sujud Bumi Berkah, Laporan Studi Kelauakan Tahun 2011",1528,122.338,-3.407,IUP,Kec. Lasolo,168,"Februari 16, 2031","Februari 16, 2012",67919.116,4897.180,40300.261
Routa,Konawe,Nikel Prospek Bravo Romeo 1,2.843.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Prospek Bravo Romeo 1,Sulawesi Tenggara,Operasi Produksi,0,0,"Limonit, Saprolit kadar rendah-tinggi","PT Sulawesi Cahaya Mineral, Laporan RKAB Tahun 2022",1640,121.806,-2.9849,IUP,Kecamatan Routa,21100,"September 14, 2037","November 18, 2019",44433.313,7877.574,35144.725
Routa,Konawe,Nikel Prospek Bravo Romeo 2 dan 3,2.844.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Prospek Bravo Romeo 2 dan 3,Sulawesi Tenggara,Operasi Produksi,0,0,"Limonit, Saprolit kadar rendah-tinggi","PT Sulawesi Cahaya Mineral, Laporan RKAB Tahun 2022",1641,121.806,-2.9849,IUP,Kecamatan Routa,21100,"September 14, 2037","November 18, 2019",44433.313,7877.574,35144.725
Routa,Konawe,Nikel Prospek Delta Sierra,2.845.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Prospek Delta Sierra,Sulawesi Tenggara,Operasi Produksi,0,0,"Limonit, Saprolit kadar rendah-tinggi","PT Sulawesi Cahaya Mineral, Laporan RKAB Tahun 2022",1642,121.806,-2.9849,IUP,Kecamatan Routa,21100,"September 14, 2037","November 18, 2019",44433.313,7877.574,35144.725
Pondidaha,Konawe,Nikel Blok SK 1 Pondidaha,2.530.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok SK 1 Pondidaha,Sulawesi Tenggara,Operasi Produksi,1039950,127.393.875,"Kadar Ni 1,5% s.d. 1,8%","PT Sulemandara Konawe, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1552,122.27,-3.91,IUP,"Desa Pondidaha, Kec. Pondidaha",100,"Maret 25, 2028","Mei 25, 2008",34974.765,1085.238,16551.877
Molawe,Konawe Utara,Nikel Tapunggaya 3,2.794.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 3,Sulawesi Tenggara,Operasi Produksi,3166641,31.033.081.800,"Blok I dan Blok II, kadar Ni 1,4% s.d. 2%","PT Sumber Bumi Putra, Laporan RKAB Tahun 2020",1612,122.1775,-3.5238,IUP,Sulawesi Tenggara,218.21,"Maret 10, 2032","November 19, 2024",66628.291,475.064,49838.453
Kabaena Selatan,Bombana,Nikel Batuawu,2.568.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Batuawu,Sulawesi Tenggara,Operasi Produksi,2115387,236.923.344,"Kadar Ni 1,4% dan 1,6%","PT Tambang Bumi Sulawesi, Laporan RKAB Tahun 2020",1590,121.8783,-5.3521,IUP,"Kecamatan Kabaena Selatan, Kabupaten Bombana",1533,"Desember 29, 2032","Desember 12, 2022",13579.458,1418.696,52084.537
Batuputih dan Tolala,Kolaka Utara,Nikel Mosiku,2.793.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Mosiku,Sulawesi Tenggara,Operasi Produksi,2763563,35.636.302.940,"Blok Anoa, Tapir, Makaka dan Komodo, kadar Ni 1,64% s.d. 1,87%","PT Tambang Mineral Maju, Laporan RKAB Tahun 2020",1611,121.0603,-2.8405,IUP,"Desa Latou, Musiku dan Lelewaw",738,"Agustus 11, 2026","Agustus 16, 2011",10659.573,4.529,46284.500
Kabaena Selatan,Bombana,Nikel Pongkalaero 1,2.804.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pongkalaero 1,Sulawesi Tenggara,Operasi Produksi,590000,7730.8,"Blok 2, Blok 3 dan Blok 5 (limonit dan saprolit","PT Tekonindo, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1622,121.9091,-5.3739,IUP,"Kec Kabaena Barat, Kab Bombana",531.3,"April 22, 1930","Juli 31, 2019",16784.116,2068.697,53778.172
Kabaena Barat,Bombana,Nikel Rahampuu,2.180.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Rahampuu,Sulawesi Tenggara,Operasi Produksi,1066200,13.619.487,"Kadar Ni 1,66% - 1,82%","PT Timah Investasi Mineral, Laporan RKAB Tahun 2022",1530,121.8258,-5.2584,IUP,"Kec. Kabaena, Kab. Bombana",300,"Maret 31, 2029","April 1, 2019",3466.742,91.150,44098.609
Langgikima,Konawe Utara,Nikel Lamonae 4,2.558.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lamonae 4,Sulawesi Tenggara,Operasi Produksi,0,0,"Blok I, Blok II dan Blok IV, kadar Ni 1,45% s.d. 1,8%","PT Tiran Indonesia, Laporan RKAB Tahun 2022",1580,122.2874,-3.2131,IUP,"Kec. Langgikima, Konawe Utara",1411.35,"Juli 30, 2033","Juli 30, 2013",46857.317,1706.739,18252.616
Kabaena Timur,Bombana,Nikel Lengora,2.522.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lengora,Sulawesi Tenggara,Eksplorasi,0,0,"OB (Ni 0,92%), Limonit (NI 1,4%), Saprolit (1,69%)","PT Tonia Mitra Sejahtera, Laporan RKAB Tahun 2020",1544,122.042,-5.206,IUP,"Kecamatan Kabaena Timur dan Kabaena Tengah, Kabupaten Bombana, Provinsi Sulawesi Tenggara",5891,"Agustus 3, 2033","Agustus 3, 2023",,,
Kabaena Barat,Bombana,Nikel Baliara,1.422.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Baliara,Sulawesi Tenggara,Operasi Produksi,3500000,45325,"Kadar Ni 0,9% s.d. 1,8%","PT Trias Jaya Agung, Laporan RKAB Tahun 2020",1431,121.839,-5.246,IUP,"Desa Rahampuu, Kelurahan Teomokole, Kecamatan Kabaena",512,"Desember 7, 2030","Desember 8, 2020",5233.338,986.698,42258.658
